,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
2599,993147,CHEMBL633732,CHEMBL291665,LogD,,=,0.43,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC1CC(NCC(=O)O)C(O)C(C)O1
2631,1000546,CHEMBL633732,CHEMBL294778,LogD,,=,2.04,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,CCOC(=O)CCCNC1CC(O[C@H]2C[C@](O)(C(C)=O)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)OC(C)C1O
2654,1009366,CHEMBL633732,CHEMBL61898,LogD,,=,1.65,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC1CC(NCC(N)=O)C(O)C(C)O1
2668,1011916,CHEMBL633732,CHEMBL302390,LogD,,=,0.03,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC1CC(N(CC#N)CC(=O)[O-])C(O)C(C)O1.[Na+]
2678,1014291,CHEMBL633732,CHEMBL278828,LogD,,=,1.98,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N2CCOCC2C#N)C(O)C(C)O1
2687,1017086,CHEMBL633732,CHEMBL291895,LogD,,=,0.92,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COCC(C#N)NC1CC(O[C@H]2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)OC(C)C1O
2698,1019675,CHEMBL633732,CHEMBL302887,LogD,,=,2.28,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC1CC(NCC#N)C(O)C(C)O1
2706,1022221,CHEMBL633732,CHEMBL293885,LogD,,=,2.64,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COCC(C#N)NC1CC(O[C@H]2C[C@](O)(C(C)=O)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)OC(C)C1O
2709,1023585,CHEMBL633732,CHEMBL53463,LogD,,=,0.07,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
2716,1025849,CHEMBL633732,CHEMBL303277,LogD,,=,1.2,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(NCC#N)C(O)C(C)O1
2732,1032644,CHEMBL638174,CHEMBL126723,LogD,,=,1.81,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1cc(Br)c(N)c(I)c1OC
2735,1035197,CHEMBL638174,CHEMBL128890,LogD,,=,1.34,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)c(I)c1
2739,1038733,CHEMBL638174,CHEMBL128930,LogD,,=,1.78,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1cc(I)c(NC(C)=O)cc1OC
2745,1039897,CHEMBL638174,CHEMBL126131,LogD,,=,1.26,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1cc(I)ccc1OC
2746,1040145,CHEMBL627381,CHEMBL3038033,LogD,,=,3.46,CHEMBL2362975,,Log D value between octanol and PBS at pH7.4,P,C[C@@H]1CC[C@H]2C(CN3CCN(CCO)CC3)=C(C(F)(F)F)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4
